minute_utc,entity_id,recorded_changes,min_w,avg_recorded_w,max_w,last_w
2026-08-12T07:02:00Z,sensor.ac_power_total,8,2073.46,2075.409,2077.01,2073.46
2026-08-12T07:02:00Z,sensor.furnace_power_total,4,277.48,277.705,277.84,277.76
2026-08-12T07:03:00Z,sensor.ac_power_total,8,2067.93,2069.45,2071.16,2068.68
2026-08-12T07:03:00Z,sensor.furnace_power_total,3,277.75,277.853,277.95,277.75
2026-08-12T07:04:00Z,sensor.ac_power_total,8,2068.36,2069.48,2070.7,2070.7
2026-08-12T07:04:00Z,sensor.furnace_power_total,4,277.52,277.785,278.26,277.52
2026-08-12T07:05:00Z,sensor.ac_power_total,8,2070.22,2073.9,2076.82,2076.82
2026-08-12T07:05:00Z,sensor.furnace_power_total,4,277.59,277.868,278.32,277.59
2026-08-12T07:06:00Z,sensor.ac_power_total,8,2077.16,2077.819,2079.44,2079.44
2026-08-12T07:06:00Z,sensor.furnace_power_total,4,277.57,277.887,278.17,278.17
2026-08-12T07:07:00Z,sensor.ac_power_total,8,2069.06,2075.389,2080.99,2069.06
2026-08-12T07:07:00Z,sensor.furnace_power_total,4,277.83,278.05,278.21,278.02
2026-08-12T07:08:00Z,sensor.ac_power_total,8,2062.68,2065.26,2067.82,2067.57
2026-08-12T07:08:00Z,sensor.furnace_power_total,4,277.06,277.525,278.03,277.32
2026-08-12T07:09:00Z,sensor.ac_power_total,8,2064.25,2067.005,2069.47,2069.47
2026-08-12T07:09:00Z,sensor.furnace_power_total,4,277.92,278.085,278.35,278.35
2026-08-12T07:10:00Z,sensor.ac_power_total,8,2065.73,2068.32,2071.98,2066.85
2026-08-12T07:10:00Z,sensor.furnace_power_total,4,277.85,278.092,278.31,278.26
2026-08-12T07:11:00Z,sensor.ac_power_total,8,2063.3,2063.794,2065.23,2064.28
2026-08-12T07:11:00Z,sensor.furnace_power_total,4,277.69,278.043,278.4,278.27
2026-08-12T07:12:00Z,sensor.ac_power_total,8,2058.16,2059.503,2061.92,2059.79
2026-08-12T07:12:00Z,sensor.furnace_power_total,4,277.33,278.1,278.4,278.36
2026-08-12T07:13:00Z,sensor.ac_power_total,8,2061.89,2066.023,2068.26,2067.45
2026-08-12T07:13:00Z,sensor.furnace_power_total,4,277.72,278.025,278.34,278.22
2026-08-12T07:14:00Z,sensor.ac_power_total,8,2051.29,2057.764,2066.02,2051.29
2026-08-12T07:14:00Z,sensor.furnace_power_total,4,277.42,277.743,277.93,277.42
2026-08-12T07:15:00Z,sensor.ac_power_total,8,2047.63,2048.747,2050.3,2047.63
2026-08-12T07:15:00Z,sensor.furnace_power_total,4,278.05,278.168,278.26,278.26
2026-08-12T07:16:00Z,sensor.ac_power_total,8,2038.34,2043.539,2047.09,2038.34
2026-08-12T07:16:00Z,sensor.furnace_power_total,4,277.62,277.793,278.07,277.62
2026-08-12T07:17:00Z,sensor.ac_power_total,8,2036.94,2038.801,2039.81,2039.62
2026-08-12T07:17:00Z,sensor.furnace_power_total,4,278.14,278.46,278.72,278.72
2026-08-12T07:18:00Z,sensor.ac_power_total,8,2039.08,2039.585,2040.12,2040.12
2026-08-12T07:18:00Z,sensor.furnace_power_total,3,277.8,278.013,278.19,278.05
2026-08-12T07:19:00Z,sensor.ac_power_total,8,2037.1,2038.765,2040.19,2037.1
2026-08-12T07:19:00Z,sensor.furnace_power_total,4,278.01,278.085,278.18,278.01
2026-08-12T07:20:00Z,sensor.ac_power_total,8,2036.23,2037.071,2037.76,2037.76
2026-08-12T07:20:00Z,sensor.furnace_power_total,4,277.44,277.885,278.25,278.25
2026-08-12T07:21:00Z,sensor.ac_power_total,8,2037.13,2040.497,2043.5,2042.43
2026-08-12T07:21:00Z,sensor.furnace_power_total,4,277.42,277.913,278.28,277.42
2026-08-12T07:22:00Z,sensor.ac_power_total,8,2034.16,2038.701,2042.53,2034.16
2026-08-12T07:22:00Z,sensor.furnace_power_total,3,277.72,278.047,278.24,278.24
2026-08-12T07:23:00Z,sensor.ac_power_total,8,2031.38,2032.174,2033.11,2031.38
2026-08-12T07:23:00Z,sensor.furnace_power_total,4,277.98,278.315,278.93,278.26
2026-08-12T07:24:00Z,sensor.ac_power_total,8,2031.58,2033.664,2035.37,2031.58
2026-08-12T07:24:00Z,sensor.furnace_power_total,4,277.94,278.175,278.46,277.94
2026-08-12T07:25:00Z,sensor.ac_power_total,8,2027.9,2029.815,2031.19,2030.26
2026-08-12T07:25:00Z,sensor.furnace_power_total,4,277.73,278.07,278.5,277.88
2026-08-12T07:26:00Z,sensor.ac_power_total,8,2031.5,2034.658,2037.67,2037.67
2026-08-12T07:26:00Z,sensor.furnace_power_total,4,277.43,277.81,278.26,277.84
2026-08-12T07:27:00Z,sensor.ac_power_total,8,2038.02,2040.784,2046.04,2046.04
2026-08-12T07:27:00Z,sensor.furnace_power_total,4,277.94,278.205,278.54,278.07
2026-08-12T07:28:00Z,sensor.ac_power_total,8,2047.43,2050.207,2052.56,2051.97
2026-08-12T07:28:00Z,sensor.furnace_power_total,4,277.58,277.952,278.25,278.14
2026-08-12T07:29:00Z,sensor.ac_power_total,8,2052.78,2054.072,2055.47,2055.47
2026-08-12T07:29:00Z,sensor.furnace_power_total,4,278.47,278.54,278.67,278.48
2026-08-12T07:30:00Z,sensor.ac_power_total,8,2052.4,2054.062,2055.83,2052.4
2026-08-12T07:30:00Z,sensor.furnace_power_total,4,278.15,278.373,278.54,278.34
2026-08-12T07:31:00Z,sensor.ac_power_total,8,2049.16,2050.557,2051.8,2049.43
2026-08-12T07:31:00Z,sensor.furnace_power_total,4,277.55,278.09,278.45,278.45
2026-08-12T07:32:00Z,sensor.ac_power_total,8,2045.81,2047.794,2049.2,2045.81
2026-08-12T07:32:00Z,sensor.furnace_power_total,4,277.93,278.233,278.38,277.93
2026-08-12T07:33:00Z,sensor.ac_power_total,8,2043.04,2044.675,2047.97,2047.97
2026-08-12T07:33:00Z,sensor.furnace_power_total,4,278.14,278.31,278.43,278.14
2026-08-12T07:34:00Z,sensor.ac_power_total,8,2045.45,2048.425,2050.11,2045.45
2026-08-12T07:34:00Z,sensor.furnace_power_total,4,277.98,278.353,278.74,277.98
2026-08-12T07:35:00Z,sensor.ac_power_total,8,2043.32,2047.269,2051.06,2051.06
2026-08-12T07:35:00Z,sensor.furnace_power_total,4,277.91,278.43,278.89,277.91
2026-08-12T07:36:00Z,sensor.ac_power_total,8,2048.4,2049.503,2050.59,2050.48
2026-08-12T07:36:00Z,sensor.furnace_power_total,4,278.0,278.163,278.41,278.0
2026-08-12T07:37:00Z,sensor.ac_power_total,8,2048.21,2050.23,2052.4,2048.21
2026-08-12T07:37:00Z,sensor.furnace_power_total,4,277.86,278.062,278.32,278.08
2026-08-12T07:38:00Z,sensor.ac_power_total,8,2044.08,2048.851,2051.15,2044.08
2026-08-12T07:38:00Z,sensor.furnace_power_total,4,277.59,278.195,278.91,277.59
2026-08-12T07:39:00Z,sensor.ac_power_total,8,2032.46,2038.932,2042.95,2035.42
2026-08-12T07:39:00Z,sensor.furnace_power_total,4,277.92,278.08,278.33,278.05
2026-08-12T07:40:00Z,sensor.ac_power_total,8,2032.92,2033.524,2034.31,2032.92
2026-08-12T07:40:00Z,sensor.furnace_power_total,4,277.84,278.127,278.29,277.84
2026-08-12T07:41:00Z,sensor.ac_power_total,8,2023.72,2027.046,2031.9,2024.25
2026-08-12T07:41:00Z,sensor.furnace_power_total,3,278.23,278.333,278.46,278.23
2026-08-12T07:42:00Z,sensor.ac_power_total,8,2020.8,2022.699,2023.52,2020.8
2026-08-12T07:42:00Z,sensor.furnace_power_total,4,277.33,277.822,278.09,277.8
2026-08-12T07:43:00Z,sensor.ac_power_total,8,2020.05,2021.723,2023.7,2020.09
2026-08-12T07:43:00Z,sensor.furnace_power_total,4,277.27,277.705,278.15,277.27
2026-08-12T07:44:00Z,sensor.ac_power_total,8,2019.63,2020.342,2021.53,2021.53
2026-08-12T07:44:00Z,sensor.furnace_power_total,4,277.76,278.045,278.4,278.4
2026-08-12T07:45:00Z,sensor.ac_power_total,8,2021.8,2023.852,2028.03,2028.03
2026-08-12T07:45:00Z,sensor.furnace_power_total,4,278.14,278.285,278.43,278.43
2026-08-12T07:46:00Z,sensor.ac_power_total,8,2028.61,2031.474,2035.54,2035.54
2026-08-12T07:46:00Z,sensor.furnace_power_total,4,277.15,277.84,278.45,277.15
2026-08-12T07:47:00Z,sensor.ac_power_total,8,2036.14,2037.642,2039.44,2039.44
2026-08-12T07:47:00Z,sensor.furnace_power_total,4,277.89,278.17,278.59,278.15
2026-08-12T07:48:00Z,sensor.ac_power_total,8,2039.62,2040.943,2042.18,2041.3
2026-08-12T07:48:00Z,sensor.furnace_power_total,4,277.61,278.092,278.55,278.55
